date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:52	4474/4474	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/superfish/superfish.min.js	(from https://iscorecv.com/)
19:44:54	8159/8159	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/wow/wow.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/wow/wow.min.js	(from https://iscorecv.com/)
19:44:55	9028/9028	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2005:59:46%20GMT	https://iscorecv.com/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/waypoints/waypoints.min.js	(from https://iscorecv.com/)
19:44:56	2406/2406	---M--	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2003:08:38%20GMT	https://iscorecv.com/lib/counterup/counterup.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/counterup/counterup.min.js	(from https://iscorecv.com/)
19:44:58	42766/42766	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202017%2018:43:12%20GMT	https://iscorecv.com/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/owlcarousel/owl.carousel.min.js	(from https://iscorecv.com/)
19:45:00	849001/849001	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Oct%202019%2000:38:42%20GMT	https://iscorecv.com/img/portfolio/03.jpg	C:/My%20Web%20Sites/jobfair/iscorecv.com/img/portfolio/03.jpg	(from https://iscorecv.com/)
19:45:00	35503/35503	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Jan%202018%2001:58:56%20GMT	https://iscorecv.com/lib/isotope/isotope.pkgd.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/isotope/isotope.pkgd.min.js	(from https://iscorecv.com/)
19:45:00	9418/9418	---M--	200	added ('OK')	application/javascript	date:Sun,%2026%20Nov%202017%2005:18:24%20GMT	https://iscorecv.com/lib/lightbox/js/lightbox.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/lightbox/js/lightbox.min.js	(from https://iscorecv.com/)
19:45:02	20443/20443	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Jan%202018%2001:18:54%20GMT	https://iscorecv.com/lib/touchSwipe/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/touchSwipe/jquery.touchSwipe.min.js	(from https://iscorecv.com/)
19:45:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2016:44:47%20GMT	https://iscorecv.com/contactform/contactform.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/contactform/contactform.1d.delayed	(from https://iscorecv.com/)
19:45:04	6663/6663	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Mar%202019%2003:20:22%20GMT	https://iscorecv.com/js/main.js	C:/My%20Web%20Sites/jobfair/iscorecv.com/js/main.js	(from https://iscorecv.com/)
19:45:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
19:45:14	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
19:45:14	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
19:45:16	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
